Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League
2019,F,25,Fabian Bleck,EIS,33,30.875,16.125,6.5,12.625,0.65,1.875,4.875,0.47375,1.125,2.375,0.60625,1.75,6.125,8.0,3.25,1.25,0.375,2.875,6.25,German BBL
2019,C,1,John Bryant,GIE,30,37.375,39.125,15.0,26.75,0.7000000000000001,1.875,5.5,0.42625,7.25,10.375,0.87125,4.0,16.375,20.375,9.875,1.25,1.625,6.0,5.125,German BBL
2019,C,2,Stevan Jelovac,BRO,16,25.0,35.875,10.125,23.5,0.54,4.5,12.625,0.4475,11.125,12.75,1.085,3.625,9.0,12.625,3.375,0.625,0.25,3.25,5.875,German BBL
2019,C,3,Cliff Alexander,BRO,34,20.25,33.125,13.375,21.875,0.7625,0.0,0.125,0.0,6.5,8.625,0.93375,5.375,14.5,19.875,1.625,1.25,3.0,3.125,6.0,German BBL
2019,C,4,Nathan Boothe,EWE,40,28.25,33.125,12.75,22.75,0.70125,3.75,8.125,0.58375,3.75,4.625,1.0150000000000001,4.0,8.25,12.25,2.75,1.875,2.75,3.5,8.375,German BBL
2019,C,5,Mahir Agva,GIE,34,18.875,32.625,10.375,19.75,0.6587500000000001,2.0,4.25,0.59,9.875,12.625,0.9725,4.5,9.875,14.25,3.375,0.625,0.75,3.625,7.5,German BBL
2019,C,6,Keith Benson,EIS,34,27.25,32.5,13.25,23.75,0.6975,0.5,1.0,0.5775,5.5,8.375,0.8250000000000001,7.125,13.0,20.125,1.625,1.625,3.125,4.0,6.25,German BBL
2019,C,7,Rasid Mahalbasic,EWE,40,34.5,31.5,12.125,19.625,0.7775,0.5,1.75,0.37875,6.625,9.875,0.83125,5.875,13.75,19.625,10.5,2.75,1.75,6.125,7.25,German BBL
2019,C,8,Erik Murphy,FRA,14,29.75,31.375,11.125,24.5,0.5700000000000001,4.0,12.0,0.41000000000000003,5.0,6.5,0.9725,2.375,10.125,12.375,2.875,1.5,2.875,4.5,7.75,German BBL
2019,C,9,Danilo Barthel,BAY,41,29.0,30.875,10.625,16.75,0.79,2.125,4.5,0.58125,7.5,9.125,1.04125,3.125,8.75,11.75,6.375,2.0,1.25,2.875,5.375,German BBL
2019,C,10,Derek Willis,GOE,34,29.75,30.375,10.75,22.0,0.6074999999999999,4.625,10.875,0.53125,4.25,5.375,1.0075,2.5,10.125,12.625,1.625,2.125,1.75,2.75,4.875,German BBL
2019,C,11,Owen Klassen,LUD,31,25.125,29.75,9.75,19.25,0.6375,1.375,4.375,0.38875,8.75,10.875,1.00625,7.25,11.0,18.25,2.625,0.625,1.0,5.0,8.875,German BBL
2019,C,12,Landry Nnoko,BER,32,24.75,28.625,11.0,16.75,0.82625,0.0,0.0,0.0,6.5,9.625,0.8450000000000001,7.0,12.625,19.625,2.875,1.0,2.375,3.875,6.625,German BBL
2019,C,13,Andreas Seiferth,BAY,32,21.125,28.375,12.0,19.375,0.77125,0.0,0.25,0.0,4.375,6.0,0.92625,5.125,8.75,13.875,4.375,1.5,0.875,3.375,8.75,German BBL
2019,C,14,James Farr,BC,28,28.25,27.625,11.625,23.75,0.61,1.5,4.75,0.4,3.0,4.125,0.90125,3.375,10.0,13.5,3.375,2.25,2.5,4.0,7.875,German BBL
2019,C,15,Philipp Neumann,CRA,32,19.375,27.0,9.5,14.125,0.84375,0.0,0.75,0.0,7.875,10.875,0.9025,6.875,10.25,17.125,2.75,1.625,2.375,4.375,10.0,German BBL
2019,C,16,Gabriel Olaseni,OLI,27,27.75,25.125,8.875,14.875,0.75125,0.0,0.125,0.0,7.25,9.375,0.9575,6.125,8.875,15.0,4.25,2.125,1.625,4.125,8.375,German BBL
