Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2020,Nimrod Hilliard IV,G,6-0,155,HARKO Merlins Crailsheim,Madison (WI),"2015 NBA Draft, Undrafted",United States
2020,Murphy Holloway,F,6-7,240,s.Oliver Baskets,Irmo (SC),"2013 NBA Draft, Undrafted",United States
2020,Aric Holman,C,6-9,225,Ratiopharm Ulm,Owensboro (KY),"2019 NBA Draft, Undrafted",United States
2020,Quinton Hooker,G,6-0,205,Mitteldeutscher BC,Brooklyn Park (MN),"2017 NBA Draft, Undrafted",United States
2020,Leon Hoppe,F,6-5,200,BV Chemnitz 99,Chemnitz,"2022 NBA Draft, Undrafted",Germany
2020,Keith Hornsby,G,6-4,210,EWE Baskets Oldenburg,Williamsburg (VA),"2016 NBA Draft, Undrafted",United States
2020,Jalen Hudson,F,6-6,192,Telekom Baskets Bonn,Richmond (VA),"2019 NBA Draft, Undrafted",United States
2020,Jannes Hundt,G,6-0,161,SC Rasta Vechta,Oldenburg,"2018 NBA Draft, Undrafted",Germany
2020,Cameron Hunt,F,6-3,175,s.Oliver Baskets,Duncanville (TX),"2019 NBA Draft, Undrafted",United States
2020,Jesse Hunt,F,6-7,210,SC Rasta Vechta,Geraldton,"2019 NBA Draft, Undrafted",Australia
2020,Ike Iroegbu,G,6-2,195,SC Rasta Vechta,Elk Grove (CA),"2017 NBA Draft, Undrafted",United StatesNigeria
2020,"Ronald Jackson, Jr.",F,6-8,205,BG Goettingen,Green Cove Springs (FL),"2020 NBA Draft, Undrafted",United States
2020,Philip Jalalpoor,G,6-2,190,Medi Bayreuth,Schifferstadt,"2015 NBA Draft, Undrafted",GermanyIran
2020,Scottie James,F,6-8,235,Giessen 46ers,Tarpon Springs (FL),"2020 NBA Draft, Undrafted",United States
2020,Jalen Jenkins,F,6-7,246,s.Oliver Baskets,Yonkers (NY),"2017 NBA Draft, Undrafted",United States
2020,Dominique Johnson,F,6-4,202,BV Chemnitz 99,Bremerhaven,"2014 NBA Draft, Undrafted",Germany
2020,JaJuan Johnson,FC,6-10,220,Bayern Munich,Indianapolis (IN),2011 Rnd 1 Pick 27,United StatesGermany
2020,Jeremy Jones,F,6-7,213,HARKO Merlins Crailsheim,San Antonio (TX),"2019 NBA Draft, Undrafted",United States
2020,Lazeric Jones,G,6-0,185,Medi Bayreuth,Chicago (IL),"2012 NBA Draft, Undrafted",United States
2020,Perry Jones,F,6-11,235,s.Oliver Baskets,Winnsboro (LA),2012 Rnd 1 Pick 28,United States
2020,Jared Jordan,G,6-2,187,s.Oliver Baskets,Hartford (CT),2007 Rnd 2 Pick 15,United States
2020,Aeneas Jung,F,6-7,185,MHP Riesen,N/A,2024 NBA Draft Eligible,CyprusGermany
2020,Harper Kamp,F,6-8,250,BG Goettingen,Mesa (AZ),"2012 NBA Draft, Undrafted",United States
2020,Shamarkus Kennedy,F,6-8,220,SC Rasta Vechta,Tuscaloosa (AL),"2020 NBA Draft, Undrafted",United States
2020,George King,F,6-6,220,BV Chemnitz 99,San Antonio (TX),2018 Rnd 2 Pick 29,United States
2020,Bazoumana Kone,G,6-4,154,Basketball Lowen Braunschweig,Abidjan,"2015 NBA Draft, Undrafted",Ivory CoastGermany
2020,Maik Kotsar,F,6-11,270,Hamburg Towers,Tallinn,"2020 NBA Draft, Undrafted",Estonia
2020,Christ Koumadje,C,7-4,269,ALBA Berlin,Dakar,"2019 NBA Draft, Undrafted",Senegal
2020,David Kramer,G,6-3,185,Bayern Munich,Myjava,"2019 NBA Draft, Undrafted",SlovakiaAustria
2020,David Kravish,F,6-10,240,Brose Baskets Bamberg,Lee's Summit (MO),"2015 NBA Draft, Undrafted",United States
2020,Ben Lammers,C,6-10,234,ALBA Berlin,San Antonio (TX),"2018 NBA Draft, Undrafted",United States
2020,Trey Landers,G,6-5,221,Ratiopharm Ulm,Huber Heights (OH),"2020 NBA Draft, Undrafted",United States
2020,Manu Lecomte,G,5-11,175,Fraport Skyliners,Ixelles,"2018 NBA Draft, Undrafted",Belgium
2020,Jeremy Lewis,G,6-0,180,Telekom Baskets Bonn,Houston (TX),"2012 NBA Draft, Undrafted",United States
2020,Rihards Lomazs,F,6-4,192,BG Goettingen,Tukums,"2018 NBA Draft, Undrafted",Latvia
2020,Robert Lowery,G,6-3,172,s.Oliver Baskets,Forestville (MD),"2011 NBA Draft, Undrafted",United StatesGermany
2020,Simas Lukosius,G,6-8,225,Telekom Baskets Bonn,Kaunas,2025 NBA Draft Eligible,LithuaniaGermany
2020,Marlin Mason,F,6-6,209,SC Rasta Vechta,Detroit (MI),"2015 NBA Draft, Undrafted",United States
