Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Amit Simhon,G,6-5,208,Hapoel Unet Holon,Ramat Gan,"2011 NBA Draft, Undrafted",Israel
2019,Diamon Simpson,F,6-7,230,Ironi Nahariya,Hayward (CA),"2009 NBA Draft, Undrafted",United States
2019,Deividas Sirvydis,GF,6-8,190,Hapoel Bank Yahav Jerusalem,Vilnius,2019 Rnd 2 Pick 7,LithuaniaLatvia
2019,Jonathan Skjoldebrand,F,6-7,220,Hapoel Eilat,Tel Aviv,"2005 NBA Draft, Undrafted",Sweden
2019,Chris Smith,G,6-2,195,Hapoel Bank Yahav Jerusalem,Millstone (NJ),"2012 NBA Draft, Undrafted",United States
2019,"Lenzelle Smith, Jr.",G,6-4,210,Hapoel Tel Aviv,Zion (IL),"2014 NBA Draft, Undrafted",United States
2019,Speedy Smith,G,6-3,180,Maccabi Bazan Haifa,St. Petersburg (FL),"2015 NBA Draft, Undrafted",United States
2019,Roman Sorkin,F,6-10,225,Maccabi Bazan Haifa,Minsk,"2018 NBA Draft, Undrafted",BelarusIsrael
2019,Edgar Sosa,G,6-2,175,Hapoel Galil Gilboa,New York (NY),"2010 NBA Draft, Undrafted",United StatesDominican Republic
2019,Benayu Sror,C,6-10,-,Hapoel Galil Gilboa,N/A,"2021 NBA Draft, Undrafted",Israel
2019,Paul Stoll,G,5-11,175,Maccabi Ashdod,Lansing (MI),"2008 NBA Draft, Undrafted",United StatesMexico
2019,Amar'e Stoudemire,FC,6-10,245,Maccabi FOX Tel Aviv,Lake Wales (FL),2002 Rnd 1 Pick 9,United States
2019,Scott Suggs,G,6-7,199,Maccabi Bazan Haifa,Washington (MO),"2013 NBA Draft, Undrafted",United States
2019,Amit Suss,F,6-6,196,Hapoel Beer Sheva,Ramat Gan,"2021 NBA Draft, Undrafted",Israel
2019,Jordan Swing,F,6-6,200,Maccabi Rishon Lezion,Vestavia Hills (AL),"2014 NBA Draft, Undrafted",United States
2019,Joaquin Szuchman,G,6-3,190,Hapoel Tel Aviv,Concordia,"2017 NBA Draft, Undrafted",ArgentinaIsrael
2019,Jared Terrell,G,6-3,215,Hapoel Eilat,Weymouth (MA),"2018 NBA Draft, Undrafted",United States
2019,Emanuel Terry,F,6-9,220,Hapoel Bank Yahav Jerusalem,Birmingham (AL),"2018 NBA Draft, Undrafted",United States
2019,TaShawn Thomas,F,6-8,240,Hapoel Bank Yahav Jerusalem,Killeen (TX),"2015 NBA Draft, Undrafted",United States
2019,Joe Thomasson,G,6-4,165,Hapoel Galil Gilboa,Dayton (OH),"2016 NBA Draft, Undrafted",United StatesGeorgia
2019,Eric Thompson,F,6-8,240,Hapoel Eilat,Detroit (MI),"2016 NBA Draft, Undrafted",United States
2019,Ryan Thompson,F,6-6,220,Hapoel Unet Holon,Mount Laurel (NJ),"2010 NBA Draft, Undrafted",United States
2019,Justin Tillman,F,6-8,229,Hapoel Galil Gilboa,Detroit (MI),"2018 NBA Draft, Undrafted",United States
2019,Bar Timor,G,6-3,187,Hapoel Bank Yahav Jerusalem,Haifa,"2014 NBA Draft, Undrafted",Israel
2019,Rod Tishman,G,6-6,198,Maccabi Rishon Lezion,Tel Aviv,"2011 NBA Draft, Undrafted",Israel
2019,J.P. Tokoto,GF,6-6,200,Ironi Nes Ziona,Menomonee Falls (WI),2015 Rnd 2 Pick 28,United StatesCameroon
2019,Mark Tollefsen,F,6-9,199,Maccabi Ashdod,Danville (CA),"2016 NBA Draft, Undrafted",United States
2019,Tree Treadwell,F,6-7,235,Hapoel Tel Aviv,Euclid (OH),"2015 NBA Draft, Undrafted",United States
2019,Uriel Trocki,F,6-7,224,Hapoel Unet Holon,Montevideo,"2018 NBA Draft, Undrafted",Uruguay
2019,Efi Tyomkin,G,6-2,192,Maccabi Ashdod,Kfar Saba,"2022 NBA Draft, Undrafted",Israel
2019,Alexey Tzubrevitch,C,7-1,245,Maccabi Rishon Lezion,Komsomolsk-on-Amur,"2008 NBA Draft, Undrafted",RussiaIsrael
2019,"Reggie Upshaw, Jr.",F,6-7,222,Maccabi Bazan Haifa,Chattanooga (TN),"2017 NBA Draft, Undrafted",United States
2019,Gregory Vargas,G,5-11,175,Maccabi Bazan Haifa,Ocumare Del Tuy,"2008 NBA Draft, Undrafted",Venezuela
2019,Jarvis Varnado,FC,6-9,230,Hapoel Galil Gilboa,Fairfax (VA),2010 Rnd 2 Pick 11,United States
2019,Nick Ward,F,6-9,245,Hapoel Galil Gilboa,Gahanna (OH),"2019 NBA Draft, Undrafted",United StatesCanada
2019,Travis Warech,GF,6-3,195,Ironi Nahariya,Pine Brook (NJ),"2013 NBA Draft, Undrafted",United States
2019,Desi Washington,G,6-2,183,Hapoel Unet Holon,Harrisburg (PA),"2015 NBA Draft, Undrafted",United States
2019,Dominic Waters,G,6-1,180,Ironi Nahariya,Portland (OR),"2010 NBA Draft, Undrafted",United States
2019,Terrence Watson,F,6-5,215,Hapoel Eilat,Detroit (MI),"2010 NBA Draft, Undrafted",United States
2019,Spencer Weisz,F,6-4,209,Hapoel Beer Sheva,Florham (NJ),"2017 NBA Draft, Undrafted",United StatesIsrael
2019,Lindell Wigginton,G,6-1,189,Ironi Nes Ziona,Dartmouth,"2019 NBA Draft, Undrafted",Canada
2019,Scottie Wilbekin,G,6-2,176,Maccabi FOX Tel Aviv,Gainesville (FL),"2014 NBA Draft, Undrafted",United StatesTurkey
2019,Johnathan Williams,F,6-9,228,Maccabi Rishon Lezion,Memphis (TN),"2018 NBA Draft, Undrafted",United States
2019,Latavious Williams,F,6-8,225,Hapoel Unet Holon,Starkville (MS),2010 Rnd 2 Pick 18,United States
2019,T.J. Williams,G,6-3,205,Hapoel Beer Sheva,Pflugerville (TX),"2017 NBA Draft, Undrafted",United States
2019,Jeff Withey,C,7-0,230,Ironi Nes Ziona,San Diego (CA),2013 Rnd 2 Pick 9,United States
2019,Nate Wolters,G,6-4,190,Maccabi FOX Tel Aviv,St. Cloud (MN),2013 Rnd 2 Pick 8,United States
2019,Willy Workman,F,6-6,195,Maccabi Bazan Haifa,Northampton (MA),"2013 NBA Draft, Undrafted",United States
2019,Eldar Yakov,G,6-1,-,Ironi Nahariya,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Jahmar Young,G,6-5,180,Hapoel Eilat,Baltimore (MD),"2010 NBA Draft, Undrafted",United States
2019,James Young,G,6-6,215,Maccabi Bazan Haifa,Rochester (MI),2014 Rnd 1 Pick 17,United States
2019,Mike Young,F,6-9,235,Hapoel Galil Gilboa,Pittsburgh (PA),"2017 NBA Draft, Undrafted",United States
2019,Steve Zack,C,6-11,245,Hapoel Beer Sheva,New Cumberland (PA),"2015 NBA Draft, Undrafted",United States
2019,Idan Zalmanson,C,6-10,250,Hapoel Bank Yahav Jerusalem,Tel Aviv,"2017 NBA Draft, Undrafted",Israel
