Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2023,Rashad Vaughn,F,6-6,210,AS Apollon Patras,Minneapolis (MN),2015 Rnd 1 Pick 17,United States
2023,Giannis Vazoukis,F,6-4,-,GS Lavrio,N/A,2024 NBA Draft Eligible,Greece
2023,Luca Vildoza,G,6-3,190,Panathinaikos,Buenos Aires,"2017 NBA Draft, Undrafted",Argentina
2023,Tilemachos Vissariou,G,6-6,205,AS Apollon Patras,N/A,2024 NBA Draft Eligible,Greece
2023,Thomas Walkup,G,6-4,195,Olympiacos,Pasadena (TX),"2016 NBA Draft, Undrafted",United StatesGreece
2023,Desi Washington,G,6-2,183,AS Apollon Patras,Harrisburg (PA),"2015 NBA Draft, Undrafted",United States
2023,Romello White,F,6-8,235,AS Karditsas,Suwanee (GA),"2021 NBA Draft, Undrafted",United States
2023,Cecil Williams,F,6-6,215,PAOK BC,Columbia (MO),"2018 NBA Draft, Undrafted",United States
2023,Kenny Williams,G,6-4,190,Peristeri BC,Richmond (VA),"2019 NBA Draft, Undrafted",United States
2023,Nigel Williams-Goss,G,6-3,190,Olympiacos,Happy Valley (OR),2017 Rnd 2 Pick 25,United States
2023,Robert Woodard II,G,6-7,230,Maroussi BC,Columbus (MS),2020 Rnd 2 Pick 10,United States
2023,Moses Wright,FC,6-8,226,Olympiacos,Raleigh (NC),"2021 NBA Draft, Undrafted",United States
2023,Vassilis Xanthopoulos,G,6-2,205,Peristeri BC,Thessaloniki,"2006 NBA Draft, Undrafted",Greece
2023,Pavlos Xydas,G,6-1,-,Maroussi BC,N/A,"2015 NBA Draft, Undrafted",Greece
2023,Dimitrios Zampelas,-,-,-,Maroussi BC,N/A,2024 NBA Draft Eligible,Greece
2023,Thodoris Zaras,G,6-5,215,GS Lavrio,Thessaloniki,"2009 NBA Draft, Undrafted",Greece
2023,Evangelos Zougris,F,6-8,249,Peristeri BC,N/A,2026 NBA Draft Eligible,Greece
