Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,League
2024,C,23,Myles Howard,SIB,22,19.6,8.2,2.7,7.6,0.353,0.0,0.3,0.0,2.9,3.8,0.765,4.2,8.7,12.9,1.8,2.4,2.4,1.6,5.0,2023,C,6-9,201,GKK Sibenk,Chicago (IL),"2020 NBA Draft, Undrafted",United States,Croatian Basketball League
2023,C,2,Imran Polutak,ALK,30,25.0,31.5,11.2,21.3,0.526,1.0,2.8,0.364,8.0,11.3,0.706,4.0,8.1,12.1,3.6,1.2,1.5,5.3,7.4,2019,C,6-10,218,KK Velika Gorica,Aarau,"2018 NBA Draft, Undrafted",SwazilandBosnia and Herzegovina,Croatian Basketball League
2023,C,3,Marko Perovic,ZAB,30,28.9,27.7,10.8,19.7,0.548,1.4,3.5,0.397,4.8,5.5,0.86,4.5,7.6,12.1,2.3,1.2,0.3,2.4,4.5,2023,C,6-8,168,KK Zabok,Niksic,"2014 NBA Draft, Undrafted",Montenegro,Croatian Basketball League
2023,C,8,Luka Barisic,SRKL,26,25.4,24.5,8.6,18.5,0.465,2.2,6.3,0.349,5.2,6.2,0.835,2.6,6.7,9.3,1.9,1.5,0.3,3.9,6.0,2023,SF,6-10,240,KK Skrljevo,Osijek,"2022 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2023,C,9,Sasa Ciani,CEJR,27,22.1,24.1,10.9,16.5,0.659,0.0,0.0,0.0,2.4,5.3,0.455,5.1,9.8,14.9,2.8,2.3,2.0,3.5,5.2,2023,C,6-9,240,KK Cedevita Junior Zagreb,Sempeter-Vrtojba,2027 NBA Draft Eligible,Slovenia,Croatian Basketball League
2023,C,16,Mislav Majic,DIN,16,6.8,16.7,7.5,14.1,0.531,1.3,2.6,0.5,0.4,0.9,0.5,3.5,5.3,8.8,1.3,1.3,0.9,3.1,6.6,2023,C,6-8,-,KK Dinamo,,"2023 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2023,C,17,Ivan Nakic-Vojnovic,VEL,32,18.1,16.6,6.2,13.3,0.466,0.6,2.9,0.2,3.6,5.3,0.672,3.2,8.1,11.3,2.1,1.7,1.7,3.6,7.3,2023,F,6-9,-,KK Velika Gorica,,"2021 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2024,PF,15,Ivan Nakic-Vojnovic,DIN,28,11.7,18.2,7.2,13.3,0.538,0.4,3.2,0.136,3.4,5.9,0.575,3.2,8.2,11.4,1.9,1.2,1.9,2.6,8.8,2023,F,6-9,-,KK Velika Gorica,,"2021 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2023,C,18,Marino Dubravcic,SPL,12,6.3,15.8,6.3,14.5,0.435,0.0,1.3,0.0,3.2,8.2,0.385,6.9,6.9,13.9,1.9,1.3,1.3,1.9,10.1,2023,C,6-9,-,KK Split,,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,C,7,Marino Dubravcic,SPL,10,5.2,24.8,12.0,20.2,0.591,0.0,0.9,0.0,0.9,3.7,0.25,9.2,10.1,19.3,1.8,0.0,0.9,2.8,10.1,2023,C,6-9,-,KK Split,,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,C,19,Emeka Obukwelu,SRKL,12,19.9,15.7,5.6,12.9,0.438,1.2,4.0,0.3,3.2,4.2,0.762,1.6,8.4,10.1,1.6,0.0,0.4,2.4,5.8,2023,F,6-8,235,KK Skrljevo,Plano (TX),"2022 NBA Draft, Undrafted",United States,Croatian Basketball League
2023,C,20,Ivan Juric,DUB,16,6.0,15.6,6.0,14.6,0.414,0.5,1.5,0.333,3.0,5.5,0.545,5.5,7.0,12.6,1.5,1.5,0.5,6.5,7.5,2023,C,6-11,229,KK Dubrava Zagreb,,2028 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,C,15,Ivan Juric,DUB,28,14.3,19.5,6.7,11.7,0.577,0.1,1.1,0.111,5.9,8.4,0.7,3.2,7.5,10.7,2.0,1.3,1.7,4.6,8.3,2023,C,6-11,229,KK Dubrava Zagreb,,2028 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,C,21,Mario Kresic,RIB,2,20.6,14.0,4.7,14.0,0.333,2.3,4.7,0.5,2.3,2.3,1.0,1.2,5.8,7.0,1.2,1.2,2.3,2.3,10.5,2023,C,6-7,-,KK Ribola Kastela,,2024 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,C,24,Jakov Stipanicev,ZAB,33,16.2,11.6,3.6,10.9,0.331,1.3,5.7,0.234,3.1,4.1,0.739,2.8,6.9,9.7,1.9,1.3,1.9,2.7,7.5,2023,C,6-11,-,KK Zabok,Novo Mesto,"2021 NBA Draft, Undrafted",Slovenia,Croatian Basketball League
2023,C,26,Petar Markota,RIB,2,17.7,10.8,5.4,13.5,0.4,0.0,0.0,0.0,0.0,2.7,0.0,4.1,10.8,14.9,0.0,0.0,4.1,2.7,6.8,2023,C,6-7,-,KK Ribola Kastela,,2025 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PG,21,Marat Kos,BOS,30,23.5,16.1,5.6,13.5,0.419,1.6,4.5,0.364,3.2,4.0,0.797,1.2,3.8,5.0,3.4,1.6,0.5,5.3,5.2,2022,G,6-3,-,KK Bosco Zagreb,,2028 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PG,27,Dragan Dzajic,DUB,17,10.0,13.3,5.7,13.3,0.426,1.4,5.1,0.278,0.6,0.6,1.0,2.0,4.5,6.5,3.4,1.1,0.9,4.5,4.8,2022,PG,6-2,-,KK Vrijednosnice Osijek,Split,"2022 NBA Draft, Undrafted",CroatiaBosnia and Herzegovina,Croatian Basketball League
2024,PG,34,Ivan Pavela,ALK,16,12.7,10.6,3.3,8.2,0.4,2.4,6.1,0.385,1.6,1.9,0.875,0.5,3.1,3.5,4.7,1.2,0.5,3.1,6.4,2023,G,6-2,-,KK Alkar,,2027 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,SG,1,Filip Vujicic,DUB,26,30.0,25.7,9.1,22.1,0.412,2.5,9.1,0.272,5.0,6.7,0.75,1.4,7.2,8.6,4.3,2.8,1.2,3.9,4.4,2020,SG,6-4,-,KK Zadar,,"2022 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2024,SG,20,Toma Rukavina,DIN,10,5.4,12.5,5.4,11.6,0.462,1.8,3.6,0.5,0.0,0.0,0.0,0.0,3.6,3.6,5.4,1.8,0.0,6.3,5.4,2023,G,6-6,-,KK Bosco Zagreb,,2025 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,SF,9,Ivan Bogdanovic,CEJR,18,18.3,21.8,9.2,21.1,0.434,2.3,7.4,0.314,1.2,1.9,0.615,2.6,5.5,8.1,4.7,1.5,0.9,2.8,4.2,2023,PF,6-9,-,KK Cedevita Junior Zagreb,Dubrovnik,"2016 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2024,SF,15,Vigor Borovcak,ZAB,10,5.9,18.7,5.7,13.8,0.412,2.4,8.1,0.3,4.9,7.3,0.667,3.3,3.3,6.5,1.6,0.0,0.8,1.6,4.1,2021,F,6-6,-,KK Zabok,,2028 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,SF,26,Dominik Skugor,SIB,16,9.1,10.5,4.6,13.1,0.35,1.0,4.9,0.2,0.3,1.3,0.25,2.0,1.0,3.0,1.0,0.0,0.0,2.0,7.9,2023,F,6-4,198,GKK Sibenk,Sibenik,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PF,6,Ivan Njegovan,BOS,17,16.9,22.9,9.2,17.1,0.539,0.8,2.0,0.417,3.7,4.5,0.815,4.2,8.5,12.7,1.8,1.0,4.2,6.0,4.7,2023,F,6-8,-,KK Zadar,,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PF,16,Toni Bilic,CEJR,18,15.2,17.7,6.7,15.1,0.442,1.2,6.5,0.189,3.2,5.6,0.563,1.4,3.9,5.3,4.9,1.8,1.2,3.9,5.3,2023,F,6-8,-,KK Cedevita Junior Zagreb,Trogir,2027 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,C,20,Josip Pavkovic,CIB,19,12.5,15.6,6.5,12.3,0.525,0.0,1.2,0.0,2.6,4.0,0.65,3.0,9.5,12.5,2.6,1.2,0.6,3.2,8.9,2023,C,6-9,-,KK Cibona,,2028 NBA Draft Eligible,Croatia,Croatian Basketball League
