Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality
2022,F,38,Aleksandar Bursac,ZAD,19,27.875,17.25,7.125,15.125,0.58375,0.375,2.125,0.25,2.75,4.125,0.8187500000000001,5.0,5.25,10.25,2.875,1.5,0.375,5.625,6.5,Adriatic ABA,2020,F,6-8,205,KK Zadar,Ruma,"2017 NBA Draft, Undrafted",Serbia
2023,F,32,Aleksandar Bursac,MZT,19,26.125,19.75,7.75,16.25,0.59,2.625,7.375,0.4337499999999999,1.75,2.875,0.79,2.25,7.125,9.375,3.125,1.375,0.25,3.5,6.125,Adriatic ABA,2020,F,6-8,205,KK Zadar,Ruma,"2017 NBA Draft, Undrafted",Serbia
2024,F,44,Aleksandar Bursac,MOR,15,17.625,11.125,4.0,11.875,0.41625,2.0,7.375,0.33625,1.125,2.875,0.5,1.75,6.75,8.5,2.0,2.25,1.125,0.875,5.625,Adriatic ABA,2020,F,6-8,205,KK Zadar,Ruma,"2017 NBA Draft, Undrafted",Serbia
2021,C,1,Filip Petrusev,MEG,21,40.0,44.375,16.5,28.375,0.7237499999999999,2.375,5.5,0.5237499999999999,9.125,12.375,0.92375,3.625,10.625,14.25,3.0,0.875,2.0,4.25,4.75,Adriatic ABA,2020,FC,6-11,225,KK Mega Bemax,Belgrade,2021 Rnd 2 Pick 20,Serbia
2023,C,6,Filip Petrusev,ZVE,33,28.0,30.5,10.875,18.25,0.74625,2.125,4.25,0.64875,6.375,8.875,0.90625,3.75,9.0,12.75,4.375,1.0,1.875,3.5,6.25,Adriatic ABA,2020,FC,6-11,225,KK Mega Bemax,Belgrade,2021 Rnd 2 Pick 20,Serbia
2021,C,2,Nikola Jovanovic,IGO,24,20.75,36.625,14.0,25.5,0.6875,0.0,0.0,0.0,8.625,11.75,0.91375,6.5,9.375,15.875,2.625,1.75,1.5,4.5,8.125,Adriatic ABA,2019,FC,6-11,240,KK Crvena Zvezda,Belgrade,"2016 NBA Draft, Undrafted",Serbia
2021,C,3,Chinanu Onuaku,ZAD,21,26.625,34.375,13.125,22.375,0.7337499999999999,0.125,0.625,0.25,7.875,11.75,0.8375,4.25,14.125,18.375,4.0,2.0,1.875,9.0,10.5,Adriatic ABA,2020,C,6-9,250,KK Zadar,Upper Marlboro (MD),2016 Rnd 2 Pick 7,United States
2021,C,4,Darko Planinic,CIB,12,30.25,34.125,14.25,24.125,0.7374999999999999,0.0,0.0,0.0,5.625,6.875,1.0225,5.0,7.875,12.875,3.875,0.875,0.375,7.875,7.5,Adriatic ABA,2020,C,6-11,255,KK Zadar,Mostar,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaCroatia
2024,C,9,Darko Planinic,KRK,14,21.375,29.375,10.75,20.875,0.6475,1.5,2.25,0.83375,6.25,8.5,0.91875,5.5,6.5,12.0,2.0,0.75,1.25,5.75,9.0,Adriatic ABA,2020,C,6-11,255,KK Zadar,Mostar,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaCroatia
2021,C,5,Dusan Miletic,BOR,24,19.125,31.0,12.5,20.0,0.77875,1.5,5.625,0.33125,4.625,7.875,0.72875,7.0,10.375,17.375,1.5,2.125,3.25,4.125,12.5,Adriatic ABA,2019,C,7-0,216,KK Partizan,Kosovska Mitrovica,"2020 NBA Draft, Undrafted",KosovoSerbia
