Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality
2024,F,7,Justas Furmanavicius,GG,12,37.75,26.5,8.75,16.375,0.6687500000000001,1.5,4.25,0.4325,7.5,10.25,0.9075,2.5,6.5,8.875,6.625,2.0,2.0,2.625,5.75,Lithuanian LKL,2019,F,6-7,210,Siauliai,Kaunas,"2018 NBA Draft, Undrafted",Lithuania
2020,F,5,Miha Lapornik,PZV,24,38.75,25.875,8.125,20.25,0.4975,3.375,10.125,0.42,6.25,8.125,0.965,0.75,5.125,5.875,4.0,1.75,0.125,3.125,5.375,Lithuanian LKL,2019,G,6-4,203,Pieno Zvaigzdes,Celje,"2015 NBA Draft, Undrafted",Slovenia
2020,F,6,Georgios Kalaitzakis,KED,23,35.5,25.375,7.0,20.5,0.42625,2.875,9.625,0.3687499999999999,8.625,11.25,0.9625,0.75,7.75,8.5,5.0,2.0,0.125,6.75,6.0,Lithuanian LKL,2019,F,6-7,205,Kedainiai Nevezis,Heraklion,2021 Rnd 2 Pick 30,Greece
2020,F,10,Akeem Wright,SIA,21,28.875,23.375,8.25,25.5,0.40625,3.5,12.25,0.3537499999999999,3.375,5.0,0.84375,2.125,7.75,9.875,3.625,2.875,0.75,5.375,4.75,Lithuanian LKL,2019,GF,6-6,215,Siauliai,Philadelphia (PA),"2007 NBA Draft, Undrafted",United States
2020,F,11,Panagiotis Kalaitzakis,KED,24,31.625,22.75,7.0,18.5,0.475,3.125,10.0,0.38375,5.625,6.875,1.0174999999999998,1.75,5.875,7.625,3.75,2.625,0.5,4.75,6.375,Lithuanian LKL,2019,GF,6-6,194,Kedainiai Nevezis,Heraklion,"2021 NBA Draft, Undrafted",Greece
2021,F,4,Panagiotis Kalaitzakis,KED,22,36.875,27.875,9.375,22.5,0.52,3.625,12.625,0.3562499999999999,5.5,6.75,1.0275,1.25,7.875,9.125,4.125,2.625,0.375,4.0,5.5,Lithuanian LKL,2019,GF,6-6,194,Kedainiai Nevezis,Heraklion,"2021 NBA Draft, Undrafted",Greece
2021,F,14,Panagiotis Kalaitzakis,TEC,22,25.0,22.625,7.75,17.25,0.56125,2.75,8.125,0.41625,4.375,5.25,1.02625,4.0,8.25,12.25,3.0,3.25,0.25,3.75,7.875,Lithuanian LKL,2019,GF,6-6,194,Kedainiai Nevezis,Heraklion,"2021 NBA Draft, Undrafted",Greece
2022,F,6,Panagiotis Kalaitzakis,TEC,40,32.25,24.5,7.875,18.875,0.5187499999999999,3.375,9.875,0.42125,5.375,7.375,0.9225,1.375,8.375,9.625,6.625,3.5,0.375,4.625,4.75,Lithuanian LKL,2019,GF,6-6,194,Kedainiai Nevezis,Heraklion,"2021 NBA Draft, Undrafted",Greece
2020,F,13,Lukas Uleckas,PRI,23,34.375,21.0,6.875,20.125,0.425,3.375,11.625,0.3562499999999999,4.125,5.125,0.995,1.75,6.875,8.625,4.5,2.125,0.625,4.125,3.625,Lithuanian LKL,2019,G,6-6,194,Vytautas Prienu,Marijampole,"2021 NBA Draft, Undrafted",Lithuania
2021,G,13,Lukas Uleckas,LIE,38,21.5,22.625,8.375,17.625,0.5925,4.375,11.625,0.46625,1.625,2.5,0.7875,2.375,5.375,7.75,3.5,1.875,0.25,2.75,4.875,Lithuanian LKL,2019,G,6-6,194,Vytautas Prienu,Marijampole,"2021 NBA Draft, Undrafted",Lithuania
2022,G,10,Lukas Uleckas,LIE,41,21.0,25.125,8.25,17.25,0.59375,4.5,11.125,0.5075000000000001,4.25,5.5,0.9725,2.5,5.25,7.625,3.875,2.125,0.75,2.5,6.75,Lithuanian LKL,2019,G,6-6,194,Vytautas Prienu,Marijampole,"2021 NBA Draft, Undrafted",Lithuania
2023,G,15,Lukas Uleckas,LIE,39,21.375,21.5,7.375,15.5,0.59625,3.125,9.0,0.4375,3.625,4.75,0.94375,2.125,4.875,7.0,3.5,1.5,0.5,3.125,8.75,Lithuanian LKL,2019,G,6-6,194,Vytautas Prienu,Marijampole,"2021 NBA Draft, Undrafted",Lithuania
