"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2024,F,15,Martynas Arlauskas,PZV,26,42.65625,28.4375,9.6875,21.875,0.690625,1.25,5.78125,0.340625,7.65625,10.46875,1.1515625,3.75,6.40625,10.15625,6.40625,2.5,0.78125,5.0,6.71875,2022,GF,"6-7",205,Pieno Zvaigzdes,Siauliai,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,38,Tomas Verbinskis,KED,28,8.59375,9.21875,3.90625,15.0,0.403125,1.40625,8.75,0.2609375,0.0,0.0,0.0,0.9375,4.375,5.3125,0.9375,0.9375,0.46875,1.875,10.15625,2022,F,"6-8",217,Kedainiai Nevezis,Klaipeda,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,1,Darrell Davis,JUV,13,37.1875,50.15625,17.65625,31.71875,0.8703125,6.25,13.75,0.7125,8.4375,9.53125,1.4015625,1.40625,7.5,8.90625,12.34375,3.125,0.3125,8.4375,5.3125,2022,G,"6-5",190,Juventus,Detroit (MI),"2018 NBA Draft, Undrafted",United States,Lithuanian LKL
2023,F,2,Deshawn Freeman,KED,21,41.25,47.5,19.6875,31.5625,0.971875,0.15625,0.9375,0.2234375,8.125,16.09375,0.7875,6.40625,11.875,18.28125,5.46875,3.59375,1.5625,5.9375,9.375,2022,F,"6-7",225,Kedainiai Nevezis,Rocky Mount (NC),"2018 NBA Draft, Undrafted",United States,Lithuanian LKL
2023,F,4,Rashard Kelly,WOLV,11,34.53125,38.90625,16.09375,30.46875,0.8203125,2.8125,7.34375,0.5859375,4.0625,5.3125,1.1953125,7.03125,10.78125,17.96875,4.375,1.5625,1.5625,6.40625,7.03125,2022,F,"6-7",227,BC Wolves,Fredericksburg (VA),"2018 NBA Draft, Undrafted",United States,Lithuanian LKL
2023,F,5,Sarunas Beniusis,GG,32,28.4375,37.5,14.53125,20.625,1.103125,0.3125,1.09375,0.5203125,7.96875,12.34375,1.009375,8.4375,12.65625,21.09375,2.03125,1.25,0.3125,4.84375,8.28125,2019,F,"6-8",216,Siauliai,Mazeikiai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,F,6,Sarunas Beniusis,JUV,26,26.09375,35.625,13.125,16.875,1.2125,0.15625,0.3125,0.78125,9.21875,14.375,0.9984375,7.5,10.625,17.96875,2.65625,1.875,0.0,4.6875,11.40625,2019,F,"6-8",216,Siauliai,Mazeikiai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,6,Jeffery Taylor,WOLV,14,38.75,35.625,11.875,28.4375,0.6515625,4.375,11.40625,0.5890625,7.5,11.25,1.0515625,5.78125,10.0,15.78125,8.4375,4.0625,1.09375,7.34375,10.0,2022,F,"6-7",225,BC Wolves,Norrkoping,"2012 Rnd 2 Pick 1",Sweden,Lithuanian LKL
2024,F,1,Jeffery Taylor,WOLV,14,38.75,47.1875,15.15625,31.09375,0.759375,6.25,15.15625,0.646875,10.78125,14.6875,1.1484375,3.28125,9.0625,12.34375,9.21875,3.4375,0.15625,8.59375,10.15625,2022,F,"6-7",225,BC Wolves,Norrkoping,"2012 Rnd 2 Pick 1",Sweden,Lithuanian LKL
2023,F,11,Rolands Smits,ZAL,40,30.9375,31.875,10.625,24.21875,0.6921875,4.21875,11.875,0.5625,6.09375,7.1875,1.3359375,5.0,10.46875,15.46875,6.40625,1.71875,0.625,4.0625,9.6875,2022,F,"6-10",235,Zalgiris,Valmiera,"2017 NBA Draft, Undrafted",Latvia,Lithuanian LKL
2024,F,12,Rolands Smits,ZAL,19,27.65625,32.8125,11.40625,22.96875,0.7734375,2.1875,9.0625,0.38125,7.8125,9.375,1.3015625,2.03125,11.09375,13.125,5.3125,3.28125,0.625,5.15625,9.0625,2022,F,"6-10",235,Zalgiris,Valmiera,"2017 NBA Draft, Undrafted",Latvia,Lithuanian LKL
2023,F,15,Jy'lan Washington,GG,21,38.28125,28.59375,9.6875,22.34375,0.6734375,4.0625,10.78125,0.590625,5.3125,7.8125,1.0421875,3.4375,12.1875,15.625,3.28125,1.5625,1.5625,6.09375,7.96875,2022,F,"6-9",210,Vytautas Prienu,Smyrna (TN),"2020 NBA Draft, Undrafted",United States,Lithuanian LKL
2023,F,16,Justin Gorham,LIE,19,40.0,28.125,9.375,16.5625,0.890625,3.90625,8.59375,0.696875,5.46875,7.03125,1.1890625,4.84375,13.28125,18.125,5.15625,1.09375,0.46875,3.125,8.125,2022,F,"6-8",220,Lietuvos Rytas,Columbia (MD),"2021 NBA Draft, Undrafted",United States,Lithuanian LKL
2024,F,11,Justin Gorham,LIE,26,39.0625,32.96875,11.5625,22.65625,0.79375,3.75,10.3125,0.55625,6.25,8.125,1.1890625,5.0,11.71875,16.71875,6.40625,1.09375,0.46875,3.75,8.28125,2022,F,"6-8",220,Lietuvos Rytas,Columbia (MD),"2021 NBA Draft, Undrafted",United States,Lithuanian LKL
2023,F,18,Gyorgy Goloman,TEC,41,27.03125,26.40625,8.59375,19.0625,0.7078125,1.71875,6.875,0.409375,7.34375,9.53125,1.1984375,4.0625,8.28125,12.34375,3.125,2.1875,3.125,4.6875,9.53125,2022,F,"6-11",225,Lietkabelis,Szombathely,"2018 NBA Draft, Undrafted",Hungary,Lithuanian LKL
