"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2021,G,35,Liam O'Reilly,GIE,11,23.375,19.5,7.625,19.75,0.4775,2.0,7.875,0.32375,2.375,2.875,1.0,0.0,6.375,6.375,7.0,1.125,0.25,5.25,5.25,2020,G,"6-2",180,Giessen 46ers,Austin (TX),"2018 NBA Draft, Undrafted",United States,German BBL
2021,G,38,Kilian Binapfl,TBB,26,9.0,18.375,7.125,15.125,0.585,1.0,2.875,0.41625,3.25,6.125,0.6575,4.5,8.375,12.875,2.625,1.875,0.375,5.125,5.75,2019,G,"6-5",176,Telekom Baskets Bonn,Munich,"2022 NBA Draft, Undrafted",Germany,German BBL
2022,G,43,Kilian Binapfl,GIE,23,13.375,16.125,6.625,16.375,0.50375,1.0,5.875,0.20875,2.0,4.875,0.5,3.625,8.125,11.75,0.75,1.5,1.25,2.875,5.375,2019,G,"6-5",176,Telekom Baskets Bonn,Munich,"2022 NBA Draft, Undrafted",Germany,German BBL
2021,G,39,Kay Bruhnke,BAY,17,12.125,18.25,5.5,13.5,0.50625,2.875,9.125,0.4,4.375,4.75,1.15375,1.5,4.75,6.25,2.5,0.375,0.375,5.5,12.375,2020,G,"6-9",205,Medi Bayreuth,Baunach,"2023 NBA Draft, Undrafted",Germany,German BBL
2022,G,28,Kay Bruhnke,BAY,26,20.0,23.375,8.375,16.625,0.63,3.125,8.75,0.45125,3.5,4.875,0.8825,2.125,6.875,9.125,2.25,1.625,1.625,2.875,8.625,2020,G,"6-9",205,Medi Bayreuth,Baunach,"2023 NBA Draft, Undrafted",Germany,German BBL
2023,G,29,Kay Bruhnke,BAY,33,17.25,22.5,7.625,19.75,0.48375,5.5,15.125,0.45625,1.75,2.5,0.855,2.5,4.875,7.375,2.375,1.0,1.125,2.875,6.375,2020,G,"6-9",205,Medi Bayreuth,Baunach,"2023 NBA Draft, Undrafted",Germany,German BBL
2021,G,42,Tim Hasbargen,RAS,29,25.5,17.25,6.5,15.375,0.52625,2.375,7.125,0.4225,1.875,2.25,1.0225,3.0,4.75,7.75,2.75,2.125,0.375,2.875,5.375,2020,G,"6-4",200,SC Rasta Vechta,Munich,"2018 NBA Draft, Undrafted",Germany,German BBL
2022,G,46,Tim Hasbargen,TBB,17,10.375,14.375,5.875,13.125,0.565,2.5,8.875,0.3575,0.0,0.0,0.0,2.125,3.0,5.125,3.0,1.75,0.0,2.125,7.625,2020,G,"6-4",200,SC Rasta Vechta,Munich,"2018 NBA Draft, Undrafted",Germany,German BBL
2021,G,44,David Kramer,BAY,18,13.5,14.5,5.0,17.25,0.3575,3.125,12.0,0.32,1.5,2.5,0.78125,1.5,5.5,7.125,1.5,1.875,0.0,2.5,11.125,2020,G,"6-3",185,Bayern Munich,Myjava,"2019 NBA Draft, Undrafted",SlovakiaAustria,German BBL
2022,G,3,David Kramer,BLB,30,29.25,36.625,11.75,27.125,0.5425,5.75,14.375,0.50625,7.25,10.0,0.9075,2.25,7.0,9.375,3.625,2.875,0.625,5.25,7.125,2020,G,"6-3",185,Bayern Munich,Myjava,"2019 NBA Draft, Undrafted",SlovakiaAustria,German BBL
