"Year","Position","#","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_x","Position_x","#_x","Team_x","GP_x","MPG_x","PPG_x","FGM_x","FGA_x","FG%_x","3PM_x","3PA_x","3P%_x","FTM_x","FTA_x","FT%_x","ORB_x","DRB_x","RPG_x","APG_x","SPG_x","BPG_x","TOV_x","PF_x","Year_y","Position_y","#_y","Team_y","GP_y","MPG_y","PPG_y","FGM_y","FGA_y","FG%_y","3PM_y","3PA_y","3P%_y","FTM_y","FTA_y","FT%_y","ORB_y","DRB_y","RPG_y","APG_y","SPG_y","BPG_y","TOV_y","PF_y","League"
2012,G,9,Matteo Juricic,KVA,29,20.9,17.6,6.2,14.5,0.426,3.2,7.8,0.408,2.1,2.8,0.743,0.8,2.7,3.5,2.5,1.3,0.1,3.3,5.6,2012,G,9,KVA,29,20.9,17.6,6.2,14.5,0.426,3.2,7.8,0.408,2.1,2.8,0.743,0.8,2.7,3.5,2.5,1.3,0.1,3.3,5.6,2013,PG,9,KVA,27,15.1,13.6,4.4,8.5,0.514,1.9,3.3,0.571,2.5,3.2,0.778,0.7,2.6,3.3,2.4,2.5,0.0,3.5,4.1,Greek Basketball League
2012,G,10,Marko Car,CED,21,20.4,17.5,6.0,14.7,0.412,2.7,7.9,0.338,2.7,3.8,0.706,0.3,3.2,3.6,4.9,3.1,0.1,4.0,5.3,2012,G,10,CED,21,20.4,17.5,6.0,14.7,0.412,2.7,7.9,0.338,2.7,3.8,0.706,0.3,3.2,3.6,4.9,3.1,0.1,4.0,5.3,2012,PG,10,CED,21,20.4,17.5,6.0,14.7,0.412,2.7,7.9,0.338,2.7,3.8,0.706,0.3,3.2,3.6,4.9,3.1,0.1,4.0,5.3,Greek Basketball League
2012,G,11,Stefan Zadravec,ZAB,31,17.5,15.3,5.7,12.0,0.474,1.9,4.4,0.44,2.0,2.8,0.719,0.9,3.2,4.1,3.5,2.3,0.1,2.9,5.5,2012,G,11,ZAB,31,17.5,15.3,5.7,12.0,0.474,1.9,4.4,0.44,2.0,2.8,0.719,0.9,3.2,4.1,3.5,2.3,0.1,2.9,5.5,2012,PG,11,ZAB,31,17.5,15.3,5.7,12.0,0.474,1.9,4.4,0.44,2.0,2.8,0.719,0.9,3.2,4.1,3.5,2.3,0.1,2.9,5.5,Greek Basketball League
2012,G,12,Saso Ozbolt,ZAG,14,21.6,14.4,4.8,10.5,0.455,2.9,6.2,0.462,1.7,2.1,0.846,0.8,3.6,4.4,4.6,3.2,0.3,1.9,2.9,2012,G,12,ZAG,14,21.6,14.4,4.8,10.5,0.455,2.9,6.2,0.462,1.7,2.1,0.846,0.8,3.6,4.4,4.6,3.2,0.3,1.9,2.9,2012,PG,12,ZAG,14,21.6,14.4,4.8,10.5,0.455,2.9,6.2,0.462,1.7,2.1,0.846,0.8,3.6,4.4,4.6,3.2,0.3,1.9,2.9,Greek Basketball League
2012,G,13,Josip Glavinic,KRI,30,31.0,13.3,4.6,12.8,0.359,1.2,5.9,0.202,3.4,4.3,0.795,0.3,5.6,5.9,7.9,2.1,0.1,4.5,3.9,2012,G,13,KRI,30,31.0,13.3,4.6,12.8,0.359,1.2,5.9,0.202,3.4,4.3,0.795,0.3,5.6,5.9,7.9,2.1,0.1,4.5,3.9,2012,PG,13,KRI,30,31.0,13.3,4.6,12.8,0.359,1.2,5.9,0.202,3.4,4.3,0.795,0.3,5.6,5.9,7.9,2.1,0.1,4.5,3.9,Greek Basketball League
2012,G,13,Josip Glavinic,KRI,30,31.0,13.3,4.6,12.8,0.359,1.2,5.9,0.202,3.4,4.3,0.795,0.3,5.6,5.9,7.9,2.1,0.1,4.5,3.9,2012,G,13,KRI,30,31.0,13.3,4.6,12.8,0.359,1.2,5.9,0.202,3.4,4.3,0.795,0.3,5.6,5.9,7.9,2.1,0.1,4.5,3.9,2016,SG,6,ALK,29,25.3,21.3,6.4,16.4,0.39,2.2,7.4,0.301,6.3,8.1,0.774,0.5,5.8,6.3,7.4,2.0,0.1,4.2,3.5,Greek Basketball League
2012,G,14,Uros Zadnik,ZAD,36,15.8,11.6,4.0,12.7,0.313,0.8,4.8,0.175,2.8,3.9,0.717,0.9,3.5,4.4,5.4,3.7,0.1,2.8,5.6,2012,G,14,ZAD,36,15.8,11.6,4.0,12.7,0.313,0.8,4.8,0.175,2.8,3.9,0.717,0.9,3.5,4.4,5.4,3.7,0.1,2.8,5.6,2012,PG,14,ZAD,36,15.8,11.6,4.0,12.7,0.313,0.8,4.8,0.175,2.8,3.9,0.717,0.9,3.5,4.4,5.4,3.7,0.1,2.8,5.6,Greek Basketball League
2012,G,15,Matej Kljaic,SLA,29,16.9,10.9,3.3,9.7,0.343,1.9,6.7,0.275,2.3,3.4,0.686,0.7,1.7,2.3,2.5,1.1,0.0,3.6,7.6,2012,G,15,SLA,29,16.9,10.9,3.3,9.7,0.343,1.9,6.7,0.275,2.3,3.4,0.686,0.7,1.7,2.3,2.5,1.1,0.0,3.6,7.6,2012,PG,15,SLA,29,16.9,10.9,3.3,9.7,0.343,1.9,6.7,0.275,2.3,3.4,0.686,0.7,1.7,2.3,2.5,1.1,0.0,3.6,7.6,Greek Basketball League
2012,G,15,Matej Kljaic,SLA,29,16.9,10.9,3.3,9.7,0.343,1.9,6.7,0.275,2.3,3.4,0.686,0.7,1.7,2.3,2.5,1.1,0.0,3.6,7.6,2012,G,15,SLA,29,16.9,10.9,3.3,9.7,0.343,1.9,6.7,0.275,2.3,3.4,0.686,0.7,1.7,2.3,2.5,1.1,0.0,3.6,7.6,2013,PG,6,SLA,23,16.0,15.4,5.5,14.1,0.389,3.6,10.0,0.364,0.8,1.2,0.667,1.3,1.4,2.7,2.0,1.3,0.0,2.9,4.4,Greek Basketball League
2012,G,1,Goran Vrbanc,ZAD,33,24.2,28.8,9.1,23.2,0.393,3.8,12.1,0.313,6.7,8.2,0.818,1.4,3.5,4.9,2.8,1.9,0.1,5.2,4.7,2012,G,1,ZAD,33,24.2,28.8,9.1,23.2,0.393,3.8,12.1,0.313,6.7,8.2,0.818,1.4,3.5,4.9,2.8,1.9,0.1,5.2,4.7,2012,SG,1,ZAD,33,24.2,28.8,9.1,23.2,0.393,3.8,12.1,0.313,6.7,8.2,0.818,1.4,3.5,4.9,2.8,1.9,0.1,5.2,4.7,Greek Basketball League
2012,G,1,Goran Vrbanc,ZAD,33,24.2,28.8,9.1,23.2,0.393,3.8,12.1,0.313,6.7,8.2,0.818,1.4,3.5,4.9,2.8,1.9,0.1,5.2,4.7,2012,G,1,ZAD,33,24.2,28.8,9.1,23.2,0.393,3.8,12.1,0.313,6.7,8.2,0.818,1.4,3.5,4.9,2.8,1.9,0.1,5.2,4.7,2013,SG,6,ZAD,16,13.8,21.5,6.3,21.5,0.293,3.5,12.8,0.271,5.4,8.0,0.676,0.9,2.4,3.3,2.2,1.3,0.2,3.3,4.1,Greek Basketball League
2012,G,2,Ivan Mimica,SPL,33,34.3,26.6,8.4,18.1,0.464,2.8,8.1,0.353,7.0,8.3,0.841,1.0,3.9,4.9,3.1,1.9,0.2,3.4,4.1,2012,G,2,SPL,33,34.3,26.6,8.4,18.1,0.464,2.8,8.1,0.353,7.0,8.3,0.841,1.0,3.9,4.9,3.1,1.9,0.2,3.4,4.1,2012,SG,2,SPL,33,34.3,26.6,8.4,18.1,0.464,2.8,8.1,0.353,7.0,8.3,0.841,1.0,3.9,4.9,3.1,1.9,0.2,3.4,4.1,Greek Basketball League
2012,G,2,Ivan Mimica,SPL,33,34.3,26.6,8.4,18.1,0.464,2.8,8.1,0.353,7.0,8.3,0.841,1.0,3.9,4.9,3.1,1.9,0.2,3.4,4.1,2012,G,2,SPL,33,34.3,26.6,8.4,18.1,0.464,2.8,8.1,0.353,7.0,8.3,0.841,1.0,3.9,4.9,3.1,1.9,0.2,3.4,4.1,2014,PF,2,SPL,21,32.1,28.4,10.5,21.2,0.498,4.3,10.1,0.423,3.1,3.8,0.796,0.6,4.1,4.8,4.1,1.9,0.1,2.9,3.9,Greek Basketball League
