Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Sarantis Mastrogiannopoulos,G,6-2,192,GS Lavrio,Patras,"2019 NBA Draft, Undrafted",Greece
2019,Dimitris Mavroeidis,C,6-10,265,Kolossos Rodou BC,Maroussi,"2007 NBA Draft, Undrafted",Greece
2019,Trevor Mbakwe,FC,6-10,244,AEK Athens,Saint Paul (MN),"2013 NBA Draft, Undrafted",United StatesNigeria
2019,Gary McGhee,C,6-11,250,Aris BC,Anderson (IN),"2011 NBA Draft, Undrafted",United States
2019,Tywain McKee,G,6-2,183,Panionios BC,Philadelphia (PA),"2009 NBA Draft, Undrafted",United States
2019,Tony Meier,F,6-9,210,ASP Promitheas Patras,Wildwood (MO),"2012 NBA Draft, Undrafted",United States
2019,Silas Melson,G,6-4,195,GS Lavrio,Portland (OR),"2018 NBA Draft, Undrafted",United States
2019,Milan Milosevic,F,6-9,214,GS Lavrio,Bileca,"2007 NBA Draft, Undrafted",Bosnia and Herzegovina
2019,Nikola Milutinov,C,7-0,220,Olympiacos,Novi Sad,2015 Rnd 1 Pick 26,Serbia
2019,Kostas Mitoglou,F,6-10,245,Panathinaikos,Thessaloniki,"2018 NBA Draft, Undrafted",Greece
2019,Lefteris Mitsibonas,F,6-7,220,GS Kymis,,"2021 NBA Draft, Undrafted",Greece
2019,Ramone Moore,G,6-5,190,Peristeri BC,Philadelphia (PA),"2012 NBA Draft, Undrafted",United States
2019,Dimitris Moraitis,G,6-4,172,AEK Athens,Amarousio,"2021 NBA Draft, Undrafted",Greece
2019,Yanick Moreira,C,6-11,220,PAOK BC,Luanda,"2015 NBA Draft, Undrafted",Angola
2019,Vasilis Mouratos,G,6-4,192,Peristeri BC,Amarousio,"2019 NBA Draft, Undrafted",Greece
2019,Spyridon Mourtos,G,6-6,185,Ifestos Limnou,Cholargos,"2012 NBA Draft, Undrafted",Greece
2019,Marcel Moussa,G,6-3,-,Panionios BC,,"2019 NBA Draft, Undrafted",Cyprus
2019,Thodoris Mpakeas,-,-,-,Ifestos Limnou,,"2019 NBA Draft, Undrafted",Cyprus
2019,Zamal Nixon,G,6-1,170,GS Lavrio,Brooklyn (NY),"2011 NBA Draft, Undrafted",United States
2019,Tai Odiase,FC,6-9,240,GS Lavrio,Flossmoor (IL),"2018 NBA Draft, Undrafted",United States
2019,Jake Odum,G,6-4,180,ASP Promitheas Patras,Terre Haute (IN),"2014 NBA Draft, Undrafted",United States
2019,Kostas Oikonomopoulos,G,6-4,182,Rethymno,Amarousio,"2018 NBA Draft, Undrafted",Greece
2019,Teddy Okereafor,G,6-4,200,Holargos,London,"2016 NBA Draft, Undrafted",England
2019,Kostas Papadakis,G,6-3,173,Kolossos Rodou BC,Athens,"2020 NBA Draft, Undrafted",Greece
2019,George Papagiannis,C,7-2,275,Panathinaikos,Amarousio,2016 Rnd 1 Pick 13,Greece
2019,Kostas Papanikolaou,F,6-8,225,Olympiacos,Trikala,2012 Rnd 2 Pick 18,Greece
2019,Nontas Papantoniou,G,6-3,215,PAOK BC,Cholargos,"2012 NBA Draft, Undrafted",Greece
2019,Ioannis Papapetrou,F,6-8,225,Panathinaikos,Patras,"2014 NBA Draft, Undrafted",Greece
2019,Nikos Pappas,G,6-4,200,Panathinaikos,Amarousio,"2012 NBA Draft, Undrafted",Greece
2019,Terell Parks,F,6-8,250,ASP Promitheas Patras,Beloit (WI),"2013 NBA Draft, Undrafted",United States
2019,Dimitrios Patsantzopoulos,F,6-6,-,ASP Promitheas Patras,Amarousio,"2022 NBA Draft, Undrafted",Greece
2019,Adreian Payne,C,6-10,237,Panathinaikos,Dayton (OH),2014 Rnd 1 Pick 15,United States
2019,Michalis Perakis,C,6-10,210,GS Lavrio,Athens,"2006 NBA Draft, Undrafted",Greece
2019,Jayvaughn Pinkston,F,6-7,240,Kolossos Rodou BC,Brooklyn (NY),"2015 NBA Draft, Undrafted",United States
2019,Aleksej Pokusevski,C,7-0,210,Olympiacos,Novi Sad,2020 Rnd 1 Pick 17,Serbia
2019,Malik Pope,F,6-10,220,PAOK BC,Elk Grove (CA),"2018 NBA Draft, Undrafted",United States
2019,Stelios Poulianitis,G,6-2,178,GS Kymis,Thessaloniki,"2017 NBA Draft, Undrafted",Greece
2019,Georgios Printezis,F,6-9,235,Olympiacos,Athens,2007 Rnd 2 Pick 28,Greece
2019,Grigoris Ralatos,F,6-8,-,Holargos,,"2008 NBA Draft, Undrafted",Greece
2019,Xavier Rathan-Mayes,G,6-4,208,AEK Athens,Scarborough,"2017 NBA Draft, Undrafted",Canada
2019,Christopher Razis,F,6-5,200,Rethymno,Zurich,"2011 NBA Draft, Undrafted",SwitzerlandCyprus
2019,Tyler Roberson,F,6-9,237,AEK Athens,Union (NJ),"2017 NBA Draft, Undrafted",United States
2019,Nikos Rogkavopoulos,F,6-8,197,AEK Athens,Maroussi,"2023 NBA Draft, Undrafted",Greece
2019,Andreas Roumeliotis,G,6-5,-,Panionios BC,Patras,"2022 NBA Draft, Undrafted",Greece
2019,Evangelos Sakellariou,G,6-6,210,Panathinaikos,Athens,"2011 NBA Draft, Undrafted",Greece
2019,Dusan Sakota,FC,6-10,222,AEK Athens,Belgrade,"2008 NBA Draft, Undrafted",SerbiaGreece
2019,Christos Saloustros,F,6-7,205,ASP Promitheas Patras,Heraklion,"2012 NBA Draft, Undrafted",Greece
2019,Chrysostomos Sandramanis,G,6-5,200,ASP Promitheas Patras,Alexandreia,"2022 NBA Draft, Undrafted",Greece
2019,Howard Sant-Roos,F,6-7,180,AEK Athens,Havana,"2013 NBA Draft, Undrafted",Cuba
2019,Stavros Schizas,GF,6-5,205,PAOK BC,Athens,"2014 NBA Draft, Undrafted",Greece
2019,Giannis Sidiroilias,G,6-7,-,Aris BC,,"2023 NBA Draft, Undrafted",Greece
2019,Alexandros Sigkounas,F,6-6,230,Rethymno,Maroussi,"2010 NBA Draft, Undrafted",Greece
2019,E.J. Singler,F,6-6,215,Panionios BC,Medford (OR),"2013 NBA Draft, Undrafted",United States
2019,Henrik Sirko,F,6-6,208,Peristeri BC,Sibenik,"2015 NBA Draft, Undrafted",Croatia
2019,Gaios Skordilis,F,6-10,275,Peristeri BC,Corfu,"2009 NBA Draft, Undrafted",Greece
2019,Dionysis Skoulidas,F,6-7,215,Holargos,Amarousio,"2019 NBA Draft, Undrafted",Greece
2019,Diamantis Slaftsakis,F,6-7,195,Aris BC,Panorama,"2016 NBA Draft, Undrafted",Greece
2019,Jerry Smith,G,6-2,190,Ifestos Limnou,Wauwatosa (WI),"2010 NBA Draft, Undrafted",United States
2019,Scoochie Smith,G,6-2,180,Peristeri BC,New York (NY),"2017 NBA Draft, Undrafted",United States
2019,Vassilis Spanoulis,G,6-4,210,Olympiacos,Larissa,2004 Rnd 2 Pick 21,Greece
2019,Alexis Spyridonidis,G,6-0,175,Holargos,Nikaia,"2017 NBA Draft, Undrafted",Greece
2019,Dimitris Stamatis,G,6-4,190,Ifestos Limnou,Maroussi,"2018 NBA Draft, Undrafted",Greece
